"rank","ranking","country","crimeIndex","pop2021"
"1","1","Venezuela","83.7600","28704.9540"
"2","2","Papua New Guinea","80.7900","9119.0100"
"3","3","South Africa","76.8600","60041.9940"
"4","4","Afghanistan","76.3100","39835.4280"
"5","5","Honduras","74.5400","10062.9910"
"6","6","Trinidad And Tobago","71.6300","1403.3750"
"7","7","Guyana","68.7400","790.3260"
"8","8","El Salvador","67.7900","6518.4990"
"9","9","Brazil","67.4900","213993.4370"
"10","10","Jamaica","67.4200","2973.4630"
"11","11","Syria","67.1800","18275.7020"
"12","12","Peru","66.7200","33359.4180"
"13","13","Angola","66.4800","33933.6100"
"14","14","Cameroon","65.2400","27224.2650"
"15","15","Namibia","65.2100","2587.3440"
"16","16","Nigeria","64.0600","211400.7080"
"17","17","Bangladesh","63.9000","166303.4980"
"18","18","Argentina","63.8200","45605.8260"
"19","19","Puerto Rico","62.8400","2828.2550"
"20","20","Bahamas","62.0600","396.9130"
"21","21","Libya","61.7800","6958.5320"
"22","22","Dominican Republic","61.0200","10953.7030"
"23","23","Kenya","60.1400","54985.6980"
"24","24","Belarus","59.5800","9442.8620"
"25","25","Zimbabwe","59.3000","15092.1710"
"26","26","Guatemala","58.6700","18249.8600"
"27","27","Bolivia","57.7700","11832.9400"
"28","28","Fiji","57.6200","902.9060"
"29","29","Malaysia","57.2900","32776.1940"
"30","31","Colombia","56.8700","51265.8440"
"31","30","Kyrgyzstan","56.8700","6628.3560"
"32","32","Uganda","56.1200","47123.5310"
"33","33","Somalia","56.0400","16359.5040"
"34","34","Mongolia","56.0100","3329.2890"
"35","35","Tanzania","56","61498.4370"
"36","36","Maldives","55.3400","543.6170"
"37","37","Ecuador","55.2300","17888.4750"
"38","38","Costa Rica","54.2200","5139.0520"
"39","39","Mexico","54.1900","130262.2160"
"40","40","Kazakhstan","53.7700","18994.9620"
"41","41","Chile","53.4200","19212.3610"
"42","42","Botswana","52.9800","2397.2410"
"43","43","Algeria","52.0300","44616.6240"
"44","44","France","51.9900","65426.1790"
"45","45","Uruguay","51.7300","3485.1510"
"46","46","Cambodia","51.1300","16946.4380"
"47","47","Belize","50.3900","404.9140"
"48","48","Iran","49.3800","85028.7590"
"49","49","Paraguay","49.3700","7219.6380"
"50","50","Ethiopia","49.3000","117876.2270"
"51","51","Mauritius","48.8800","1273.4330"
"52","52","Morocco","48.6600","37344.7950"
"53","53","Iraq","48.4200","41179.3500"
"54","54","Sweden","48","10160.1690"
"55","55","Nicaragua","47.8900","6702.3850"
"56","56","United States","47.8100","332915.0730"
"57","57","Ukraine","47.4200","43466.8190"
"58","58","Ghana","46.9800","31732.1290"
"59","59","Egypt","46.8300","104258.3270"
"60","60","Lebanon","46.7700","6769.1460"
"61","61","Myanmar","46.5100","54806.0120"
"62","62","Moldova","46.3500","4024.0190"
"63","63","Vietnam","46.1900","98168.8330"
"64","64","United Kingdom","46.0700","68207.1160"
"65","65","Indonesia","45.9300","276361.7830"
"66","66","Greece","45.8500","10370.7440"
"67","67","Ireland","45.5100","4982.9070"
"68","68","Panama","45.1500","4381.5790"
"69","69","Italy","44.8500","60367.4770"
"70","70","Belgium","44.5800","11632.3260"
"71","71","India","44.4300","1393409.0380"
"72","72","Palestine","43.7400","5222.7480"
"73","73","Tunisia","43.6900","11935.7660"
"74","74","Zambia","43.6200","18920.6510"
"75","75","Australia","43.0300","25788.2150"
"76","76","Bosnia And Herzegovina","42.9900","3263.4660"
"77","77","New Zealand","42.8800","4860.6430"
"78","78","Albania","42.5300","2872.9330"
"79","79","Pakistan","42.5100","225199.9370"
"80","80","Philippines","42.4600","111046.9130"
"81","81","Sudan","42.3400","44909.3530"
"82","82","Canada","41.8900","38067.9030"
"83","83","Sri Lanka","41.3900","21497.3100"
"84","84","Montenegro","41.1800","628.0530"
"85","85","Malta","40.3900","442.7840"
"86","86","Russia","39.9900","145912.0250"
"87","87","Jordan","39.9600","10269.0210"
"88","88","Turkey","39.6200","85042.7380"
"89","89","Thailand","39.3500","69950.8500"
"90","90","North Macedonia","39.1200","2082.6580"
"91","91","Latvia","38.7700","1866.9420"
"92","92","Bulgaria","38.2100","6896.6630"
"93","93","Serbia","38.1000","8697.5500"
"94","95","Nepal","36.0100","29674.9200"
"95","96","Germany","35.7900","83900.4730"
"96","97","Hungary","34.3600","9634.1640"
"97","98","Luxembourg","34.1300","634.8140"
"98","99","Norway","33.7200","5465.6300"
"99","101","Uzbekistan","33.4200","33935.7630"
"100","100","Kuwait","33.4200","4328.5500"
"101","102","Lithuania","33.4200","2689.8620"
"102","103","Spain","33.3200","46745.2160"
"103","104","Azerbaijan","32.0200","10223.3420"
"104","105","Israel","31.4700","8789.7740"
"105","106","Cyprus","31.2800","1215.5840"
"106","107","Poland","30.5000","37797.0050"
"107","108","Slovakia","30.3700","5460.7210"
"108","109","China","30.1400","1444216.1070"
"109","110","Portugal","29.9100","10167.9250"
"110","111","Brunei","29","441.5320"
"111","112","Cuba","28.3300","11317.5050"
"112","113","Romania","28.3000","19127.7740"
"113","114","Singapore","27.9600","5896.6860"
"114","115","Finland","27.5900","5548.3600"
"115","116","Netherlands","27.1600","17173.0990"
"116","117","South Korea","26.6800","51305.1860"
"117","118","Denmark","26.2200","5813.2980"
"118","119","Bahrain","25.6400","1748.2960"
"119","120","Austria","25.5400","9043.0700"
"120","121","Czech Republic","25.5200","10724.5550"
"121","122","Saudi Arabia","25.2300","35340.6830"
"122","123","Rwanda","24.8900","13276.5130"
"123","124","Croatia","24.5900","4081.6510"
"124","125","Iceland","23.7500","343.3530"
"125","126","Estonia","23.7100","1325.1850"
"126","127","Georgia","23.3800","3979.7650"
"127","128","Armenia","22.7900","2968.1270"
"128","129","Slovenia","22.2800","2078.7240"
"129","130","Japan","22.1900","126050.8040"
"130","131","Hong Kong","22","7552.8100"
"131","132","Switzerland","21.6200","8715.4940"
"132","133","Oman","20.3400","5223.3750"
"133","134","Isle Of Man","19.2500","85.4100"
"134","135","Taiwan","15.4600","23855.0100"
"135","136","United Arab Emirates","15.2300","9991.0890"
"136","137","Qatar","12.1300","2930.5280"