pageid,ns,title,images
68879305,0,List of people named in the Pandora Papers,
164053,0,Abdullah II of Jordan,"['https://upload.wikimedia.org/wikipedia/commons/a/a5/AUT_Honour_for_Services_to_the_Republic_of_Austria_-_1st_Class_BAR.png', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/Abdullah_II_of_Jordan%2C_2007March07_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Abdullah_II_of_Jordan_-_2020_%2849389371012%29_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d6/BRU_Royal_Family_Order_of_the_Crown_of_Brunei.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/89/Barack_Obama_meets_with_Abdullah_II_of_Jordan_at_the_White_House_4-21-09.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e0/CZE_Rad_Bileho_Lva_1_tridy_BAR.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c4/Coat_of_arms_of_Jordan.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c4/Coat_of_arms_of_Jordan.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/ESP_Gran_Cruz_Merito_Militar_%28Distintivo_Blanco%29_pasador.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f9/ESP_Gran_Cruz_Merito_Naval_%28Distintivo_Blanco%29_pasador.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/58/Formal_sitting_Address_by_His_Majesty_King_Abdullah_II%2C_King_of_the_Hashemite_Kingdom_of_Jordan_%2849389371012%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3b/French_heraldic_crowns_-_King.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/92/GER_Bundesverdienstkreuz_9_Sond_des_Grosskreuzes.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/22/Grand_Crest_Ordre_de_Leopold.png', 'https://upload.wikimedia.org/wikipedia/commons/6/6b/Grand_Order_of_Mugunghwa_%28South_Korea%29_-_ribbon_bar.gif', 'https://upload.wikimedia.org/wikipedia/commons/1/15/Hannover_Gehry-Tower.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/ITA_OMRI_2001_GC-GCord_BAR.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/05/JOR_Al-Hussein_ibn_Ali_Order_BAR.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/59/JOR_Order_of_Independence_GC.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d9/JOR_Order_of_the_Hashemite_Star_ribbon.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fe/JOR_Order_of_the_Renaissance_GC.SVG', 'https://upload.wikimedia.org/wikipedia/commons/6/65/JOR_Order_of_the_Star_of_Jordan_GC.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/13/JPN_Daikun%27i_kikkasho_BAR.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d9/King_Abdullah_II_of_Jordan%27s_signature.png', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/King_Abdullah_II_of_Jordan_portrait.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/8/83/Lebanese_Order_of_Merit_Extraordinary_Grade.gif', 'https://upload.wikimedia.org/wikipedia/commons/8/86/MAR_Order_of_the_Throne_-_Special_Class_BAR.png', 'https://upload.wikimedia.org/wikipedia/commons/3/36/NED_Huisorde_van_Oranje_A1_BAR.png', 'https://upload.wikimedia.org/wikipedia/commons/a/a1/NLD_Order_of_the_Dutch_Lion_-_Grand_Cross_BAR.png', 'https://upload.wikimedia.org/wikipedia/commons/5/52/Order_of_Charles_III_-_Sash_of_Collar.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Order_of_Civil_Merit_%28Spain%29_GC.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fe/Order_of_Isabella_the_Catholic_-_Sash_of_Collar.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/19/Order_of_Merit_1st_Class_of_Ukraine.png', 'https://upload.wikimedia.org/wikipedia/commons/3/33/Order_of_Prince_Yaroslav_the_Wise_1st_2nd_and_3rd_Class_of_Ukraine.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4c/Order_of_the_Bath_UK_ribbon.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4c/Order_of_the_Grand_Conqueror_%28Libya%29.gif', 'https://upload.wikimedia.org/wikipedia/commons/5/5e/Order_of_the_Republic_%28Tunisia%29_-_ribbon_bar.gif', 'https://upload.wikimedia.org/wikipedia/commons/b/b9/POL_Order_Or%C5%82a_Bia%C5%82ego_BAR.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/19/PRT_Order_of_Prince_Henry_-_Grand_Cross_BAR.png', 'https://upload.wikimedia.org/wikipedia/commons/0/0e/PRT_Order_of_Saint_James_of_the_Sword_-_Grand_Collar_BAR.png', 'https://upload.wikimedia.org/wikipedia/commons/d/d7/Ribbon_Bar_of_None.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/91/Secretary_Kerry_Meets_With_Jordanian_King_Abdullah_II.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2d/Seraphimerorden_ribbon.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/57/St_Olavs_Orden_storkors_stripe.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f8/Standard_of_the_King_of_Jordan.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/be/Star_of_Romania_Ribbon.PNG', 'https://upload.wikimedia.org/wikipedia/commons/0/03/UK_Order_St-Michael_St-George_ribbon.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/be/UK_Royal_Victorian_Order_ribbon.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/82/Vladimir_Putin_in_Jordan_13_February_2007-10.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/75/Wisam_al-Khalifa_1st_class.gif']"
43558615,0,Luis Abinader,"['https://upload.wikimedia.org/wikipedia/commons/7/7e/Circle-icons-profile.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Circle-icons-profile.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0e/ElSimboloDelPresidenciaDelaRepublicaDominicana.png', 'https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f6/Nuvola_Dominican_flag.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9d/President_Abinader_2020.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg']"
20806009,0,Patrick Achi,"['https://upload.wikimedia.org/wikipedia/commons/c/c4/118_Photo_Officielle_-_Ministre_d%27Etat_-_secretaire_general_de_la_presidence_Abidjan_Cocody_-_Riveira_3_24_01_2021.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg', 'https://upload.wikimedia.org/wikipedia/fr/f/fc/Armoiries_de_la_C%C3%B4te_d%27Ivoire_de_1964.png']"
25846254,0,Aires Ali,"['https://upload.wikimedia.org/wikipedia/commons/1/1c/Aires_Ali.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Circle-icons-profile.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Circle-icons-profile.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/Emblem_of_Mozambique.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Mozambique.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Nuvola_Mozambican_flag.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg']"
22765442,0,Ilham Aliyev,"['https://upload.wikimedia.org/wikipedia/commons/a/a1/2017-fr.wp-orange-source.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6b/Emblem_of_Azerbaijan.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6b/Emblem_of_Azerbaijan.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Kuwait.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/12/Flag_of_Poland.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Russia.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Tajikistan.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_the_President_of_Azerbaijan.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/35/Ilham_Aliyev_met_with_Prime_Minister_of_Malaysia_Mahathir_Mohamad_01.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Ilham_Aliyev_was_interviewed_by_Euronews_TV_%28cropped%29_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/43/Ilham_Aliyev_with_EU_officials.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/New_disambig.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/22/Signature_of_Ilham_Aliyev.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c1/Vladimir_Putin_and_Ilham_Aliyev_%282015-06-13%29_1.jpg']"
27919606,0,Ricardo Álvarez Arias,"['https://upload.wikimedia.org/wikipedia/commons/8/81/Coat_of_arms_of_Honduras.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/92/Juan_Orlando_Hern%C3%A1ndez_Alvarado_no_Brasil.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/65/Lock-green.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c9/Portal.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg']"
1222313,0,Anil Ambani,"['https://upload.wikimedia.org/wikipedia/commons/7/72/AnilAmbani.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a2/Factory.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_India.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg']"
55786000,0,Mohamed Amersi,
1142794,0,Carlo Ancelotti,"['https://upload.wikimedia.org/wikipedia/commons/2/2a/Ancellotidouble.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/76/Captain_sports.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Carlo_Ancelotti_2012-12-29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a9/Carlo_Ancelotti_2016_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/Carlo_Ancelotti_in_Russia.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Emilia-Romagna_%28de_facto%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/be/Flag_of_England.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/ITA_OMRI_2001_Cav_BAR.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/bb/ITA_OSI_2011_Uff_BAR.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a5/Long-semi-protection-shackle-frwiki.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/New_disambig.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/16/Righthand.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Soccer.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/51/Soccerball_shade.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/28/Zlatan_Ibrahimovi%C4%87_%26_Carlo_Ancelotti_%28PSG%29.jpg']"
1488304,0,María Asunción Aramburuzabala,"['https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f3/Emblem-money.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Help_books.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a9/MaAsuncionAramburuzabala.gif']"
39721295,0,Nasry Asfura,"['https://upload.wikimedia.org/wikipedia/commons/2/2d/01.09_%E7%B8%BD%E7%B5%B1%E6%96%BC%E4%B8%AD%E8%8F%AF%E6%B0%91%E5%9C%8B%E5%BB%A3%E5%A0%B4%EF%BC%8C%E6%8E%A5%E5%8F%97%E5%AE%8F%E4%BA%AC%E5%B8%82%E9%95%B7%E9%98%BF%E6%96%AF%E5%A4%AB%E6%8B%89%28Nasry_Juan_Asfura_Zablah%29%E8%87%B4%E8%B4%88%E7%B8%BD%E7%B5%B1%E5%B8%82%E9%91%B0%EF%BC%8C%E8%A1%A8%E9%81%94%E5%B0%8D%E8%A8%AA%E5%9C%98%E4%B8%80%E8%A1%8C%E7%9A%84%E6%AD%A1%E8%BF%8E_%2832062590462%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c9/Portal.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg']"
40378134,0,Andrej Babiš,"['https://upload.wikimedia.org/wikipedia/commons/d/d4/Andrej_Babi%C5%A1_-_signature.png', 'https://upload.wikimedia.org/wikipedia/commons/b/bb/Andrej_Babi%C5%A1_v_roce_2020_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/30/Circle-icons-scissors.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Coat_of_arms_of_the_Czech_Republic.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/07/Council_of_the_EU_and_European_Council.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/07/Council_of_the_EU_and_European_Council.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/33/Emblem_of_the_Government_of_the_Czech_Republic.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a2/Factory.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/Flag_of_Europe.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Ministry_of_Finance_of_the_Czech_Republic_logo-en.png', 'https://upload.wikimedia.org/wikipedia/commons/d/d2/Monika_Babi%C5%A1ov%C3%A1_a_Andrej_Babi%C5%A1_2015.JPG', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/New_disambig.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ce/Wikitext.svg']"
61319390,0,Ivan Bakanov,
20168596,0,Nir Barkat,"['https://upload.wikimedia.org/wikipedia/commons/7/7f/Emblem_of_Jerusalem.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/01/Nir_Barkat%2C_Mayor_of_Jerusalem_%284462290204%29_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg']"
11117435,0,Andres D. Bautista,
271186,0,Cherie Blair,"['https://upload.wikimedia.org/wikipedia/commons/a/a1/2017-fr.wp-orange-source.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/21/Cherie_Blair_QC_%28cropped2%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/da/Circle-icons-pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Crowned_Portcullis.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/New_disambig.svg']"
3301347,0,Tony Blair,"['https://upload.wikimedia.org/wikipedia/commons/2/23/2005_03_01_rice_blair_600.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/83/Article_de_qualit%C3%A9.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/83/Article_de_qualit%C3%A9.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/70/Blair_Bush_Whitehouse_%282004-11-12%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a3/Blair_June_2007.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/34/BushBlairIraqSov.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0f/Chirac_Bush_Blair_Berlusconi.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cb/Clinton_Blair.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/af/Crowned_Portcullis.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/Flag_of_Europe.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/Flag_of_Kosovo.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/10/Flag_of_Scotland.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/New_disambig.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Royal_Coat_of_Arms_of_the_United_Kingdom_%28HM_Government%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/21/Tony_Blair_-_Jerusalem_-_June_2011.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8e/Tony_Blair_2010_%28cropped%29.jpg']"
3149816,0,Ali Bongo Ondimba,"['https://upload.wikimedia.org/wikipedia/commons/8/86/Africa_%28orthographic_projection%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e6/Ali_Bongo_-_allocution_du_21_mars_2020_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/97/Ali_Bongo_Ondimba%2C_2012.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/77/Coat_of_arms_of_Gabon.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cf/Illegal_Wildlife_Trade_Conference_London_2018_%2845245994881%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/Lock-red-alt-2.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/New_disambig.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg']"
148209,0,Miguel Bosé,"['https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/Italy_film_clapperboard.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a7/Miguel_Bos%C3%A9_en_la_Presentaci%C3%B3n_de_la_Gala_Sida_de_2017.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Musical_notes.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/New_disambig.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3c/Spain_film_clapperboard.svg']"
614426,0,Flavio Briatore,"['https://upload.wikimedia.org/wikipedia/commons/f/f3/2008_Singapore_Grand_Prix_Renault_Nelson_Piquet_Jr_crash.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Checkered_flags-fr.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/F1_pictogram.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Piedmont.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/Flavio_Briatore.JPG', 'https://upload.wikimedia.org/wikipedia/commons/1/11/Flavio_Briatore_Chinese_GP_2008.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/75/Signorina_in_viola.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Soccer.svg']"
67091575,0,Robert Brockman,
59082974,0,Roberto Campos Neto,
39048048,0,Horacio Cartes,"['https://upload.wikimedia.org/wikipedia/commons/7/70/Coat_of_arms_of_Paraguay.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fb/Horacio_Cartes_con_banda.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a3/Presidente_H._Cartes_firma.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg']"
41382352,0,Aymeric Chauprade,"['https://upload.wikimedia.org/wikipedia/commons/2/28/Aymeric_Chauprade_PP_2018.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Blue_pencil.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a3/Eurocorps.png', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/Flag_of_Europe.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/75/H%C3%A9micycle_2_Palais_Bourbon_scropped_and_smaller.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/17/MapL.png', 'https://upload.wikimedia.org/wikipedia/commons/8/87/Old_book_bindings.jpg']"
740626,0,Alfredo Cristiani,"['https://upload.wikimedia.org/wikipedia/commons/0/08/Alfredo_Cristiani.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Info_Simple.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/New_disambig.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Society.svg']"
